match_type,match_value,canonical_merchant,category
contains,UBER EATS,UBER EATS,Food – Takeout / Delivery
contains,UBEREATS,UBER EATS,Food – Takeout / Delivery
contains,UBR,UBER,Auto + Transport – Rideshare / Taxi
contains,UBER,UBER,Auto + Transport – Rideshare / Taxi
contains,AIRINDIAWEB,AIR INDIA,Travel – Flights
contains,AIR INDIA,AIR INDIA,Travel – Flights
contains,OPENAI CHATGPT,OPENAI CHATGPT,Shopping – Software / Digital Services
contains,CHATGPT SUBSCR,OPENAI CHATGPT,Shopping – Software / Digital Services
contains,CVS RETAIL PHARMACY,CVS,Health – Pharmacy
contains,CVS,CVS,Health – Pharmacy
contains,THE JOYCE THEATER,THE JOYCE THEATER,Entertainment – Events / Admissions
contains,JOYCE THEATER,THE JOYCE THEATER,Entertainment – Events / Admissions
contains,INTUIT TURBOTAX,INTUIT TURBOTAX,Financial – Tax Payments
contains,TURBOTAX,INTUIT TURBOTAX,Financial – Tax Payments
contains,SQ ALCHEMY COFFEE,ALCHEMY COFFEE,Food – Coffee / Cafes
contains,ALCHEMY COFFEE,ALCHEMY COFFEE,Food – Coffee / Cafes
contains,SQ THE BREW ROOM,THE BREW ROOM,Food – Coffee / Cafes
contains,THE BREW ROOM,THE BREW ROOM,Food – Coffee / Cafes
contains,GELATERIA GENTILE,GELATERIA GENTILE,Food – Coffee / Cafes
contains,LUCKY LUCKY CAFE,LUCKY LUCKY CAFE,Food – Coffee / Cafes
contains,LOWES,LOWES,Housing – Repairs
contains,LOWE S,LOWES,Housing – Repairs
contains,IRS USATAXPYMT,IRS TAX PAYMENT,Financial – Tax Payments
contains,COMMWLTHOFPAPATH,PA TAX PAYMENT,Financial – Tax Payments
contains,PAINDIVLTX,PA TAX PAYMENT,Financial – Tax Payments
contains,PHILADELPHIA ART MUSE,PHILADELPHIA ART MUSEUM,Entertainment – Events / Admissions
contains,PMUSA,PARKING,Auto + Transport – Parking / Tolls
contains,SUNOCO,SUNOCO,Auto + Transport – Fuel
contains,THE UPS STORE,THE UPS STORE,Shopping – Other
contains,TRADER JOE S,TRADER JOE S,Food – Groceries
contains,GIANT HEIRLOOM,GIANT HEIRLOOM,Food – Groceries
contains,WHOLEFDS,WHOLEFDS,Food – Groceries
contains,ACME,ACME,Food – Groceries
contains,ZABARS,ZABARS,Food – Groceries
contains,INTL FOODS SPICES,INTL FOODS SPICES,Food – Groceries
contains,PPA ON STREET KIOSKS,PPA ON STREET KIOSKS,Auto + Transport – Parking / Tolls
contains,PECO ENERGY PAYMENTS,PECO ENERGY PAYMENTS,Housing – Utilities: Electric
contains,PGW WEBPAY UTILITY,PGW WEBPAY UTILITY,Housing – Utilities: Gas
contains,CITYOFPHILA WATER,CITYOFPHILA WATER,Housing – Utilities: Water
contains,COMCAST XFINITY CABLE SVCS,COMCAST XFINITY CABLE SVCS,Housing – Utilities: Internet
contains,VERIZON BILL PAYMENT,VERIZON BILL PAYMENT,Housing – Utilities: Mobile Phone
contains,HELP HBOMAX COM HBOMAX COM,HBOMAX,Entertainment – Streaming
contains,APPLE COM US,APPLE,Shopping – Technology / Electronics
contains,RECLECTIC,RECLECTIC,Shopping – Household
contains,VENMO CASHOUT,VENMO CASHOUT,Transfers – Zelle / Peer Transfer
contains,CHASE CARD PAYMENT,CHASE CARD PAYMENT,Financial – Credit Card Payment
contains,PAYMENT THANK YOU,CHASE CARD PAYMENT,Financial – Credit Card Payment
contains,CASH REDEMPTION,CASH REDEMPTION,Financial – Other
contains,SCHWAB BROKERAGE MONEYLINK,SCHWAB BROKERAGE MONEYLINK,Transfers – Other
contains,TRI POINT ELECTR,TRI-POINT ELECTRIC,Housing – Repairs
contains,FOREIGN EXCHANGE RATE ADJUSTMENT FEE,FOREIGN EXCHANGE RATE ADJUSTMENT FEE,Travel – Flights
contains,MTA,MTA,Auto + Transport – Public Transit
contains,SEPTA,SEPTA,Auto + Transport – Public Transit
contains,AMTRAK,AMTRAK,Travel – Train
contains,MAIDO,MAIDO,Food – Dining Out
contains,GUPSHUP,GUPSHUP,Food – Dining Out
contains,STARBUCKS,STARBUCKS,Food – Coffee / Cafes
contains,AMAZON,AMAZON,Shopping – Household
contains,AMMAS,AMMAS,Food – Dining Out
contains,LIONS TIGERS,LIONS TIGERS,Food – Dining Out
contains,ESHEL,ESHEL,Food – Dining Out
contains,SESAMI,SESAMI,Food – Dining Out
contains,ITALIA,ITALIA,Food – Dining Out
contains,WANDERU,WANDERU,Travel – Other
contains,FOREIGN TRANSACTION FEE,FOREIGN TRANSACTION FEE,Financial – Bank Fees
contains,CONSUMER ONLINE FX INTL WIRE FEE,CONSUMER ONLINE FX INTL WIRE FEE,Financial – Bank Fees
contains,ONLINE DOMESTIC WIRE FEE,ONLINE DOMESTIC WIRE FEE,Financial – Bank Fees
contains,COMPASS ACCOUNT BURNAB,COMPASS CARD,Travel – Local Transit While Traveling
contains,WEGMANS,WEGMANS,Food – Groceries
contains,LA FITNESS,LA FITNESS,Health – Other
contains,MR WISH,MR WISH,Food – Coffee / Cafes
exact,METRO,METRO,Auto + Transport – Public Transit
contains,KING COUNTY METRO,KING COUNTY METRO,Auto + Transport – Public Transit
contains,STAPLES,STAPLES,Shopping – Household
contains,USCIS,USCIS,Financial – Legal Fees
contains,HOMEDEPOT,HOME DEPOT,Housing – Repairs
contains,WALMART,WALMART,Shopping – Household
contains,WALGREENS,WALGREENS,Health – Pharmacy
contains,BOOKING COM,BOOKING.COM,Travel – Lodging
contains,CLAUDE AI,CLAUDE AI,Shopping – Software / Digital Services
contains,ALDI,ALDI,Food – Groceries
contains,SOUND TRANSIT,SOUND TRANSIT,Auto + Transport – Public Transit
contains,GAP ONLINE,GAP,Shopping – Clothing
contains,ASOS,ASOS,Shopping – Clothing
contains,VERIZON RECURRING PAY,VERIZON,Housing – Utilities: Internet
contains,EXPO AMP CONV CTR,EXPO CONVENTION CENTER,Food – Dining Out
